id;name;lat;lon;city;address;website;description;image_url;google_place_id;google_rating;google_user_ratings_total;google_editorial_summary
gym_000081;Bjärreds utegym;55.71357617;13.02932448;Bjärred;Södra Villavägen 7B, 237 35 Bjärred;;Här kan du träna hela kroppen på många olika redskap;;ChIJEZZEbgC7U0YRN6rXN0o2Az0;3.0;1;
gym_000082;Bjeredsparkens Utegym;55.709488;13.182883;Lund;Spoletorp, Vävaregatan, 222 36 Lund, Sweden;;;;ChIJs8msRr6XU0YRHkFJc5Ohb2k;4.2;6;
gym_000083;Björkåsparkens utegym;58.3630218;12.4008066;Vargön;Björkåsvägen, Vargön, Vänersborgs kommun, Västra Götalands län, 468 33, Sverige;;;;;;;
gym_000084;Björkebyskolans utegym;59.3982486;17.8503445;Järfälla;Österdalsvägen 1, 175 68 Järfälla;https://www.jarfalla.se/fritidochkultur/idrottochmotion/utegym.4.7f4e632514d7659827a2562.html;;;ChIJq6_v4Z2fX0YRqsyCWBOM8rk;4.0;1;
gym_000085;Björkhagens utegym;59.290106;18.117509;Stockholm;Nackareservatet, 12153, Johanneshov;https://motionera.stockholm/hitta-utegym/utegym/bjorkhagens-utegym;Utegymmet ligger vid startplatsen för Björkhagsspåret, perfekt för ett pass före eller efter din löparrunda. Klicka på Mina favoriter för att jämföra dina sparade verksamheter.;https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/de31f23d-2ee1-4423-ad94-84df68e8776b.jpeg;ChIJgxPY-Wl4X0YRUGj537OZxJI;4.1;95;
gym_000086;Björklinges utegym;60.0291481;17.5539315;Björklinge;Gävlevägen, Tibble, Nyby, Björklinge, Uppsala kommun, Uppsala län, 743 64, Sverige;;;;;;;
gym_000087;Björkparken Delsbos utegym;61.8007106;16.5598059;Delsbo;Smedjegatan, Ede, Delsbo, Hudiksvalls kommun, Gävleborgs län, 824 70, Sverige;;;;ChIJ7b2uGk-dZkYRZ4wmLpTy4mM;4.4;58;
gym_000088;Björkvallens utegym;59.2932009;14.0975192;Kristinehamn;Djurgården, Kristinehamn;;;;ChIJPV2KMvGRXEYRQ4XRthnggr0;2.8;5;
gym_000089;Björnöbadets utegym;59.5679284;16.6202313;Västerås;Björnövägen, Björnöändan, Västerås, Västerås kommun, Västmanlands län, 723 48, Sverige;;;;;;;
gym_000090;Björnögårdens utegym;59.5756157;16.608194;Västerås;Björnövägen, Björnöändan, Västerås, Västerås kommun, Västmanlands län, 723 48, Sverige;;;;;;;
gym_000091;Bjurhovda utegym och motionsspår;59.6303098;16.607613;Västerås;Arkeologgatan, 723 53 Västerås;;;;ChIJ2Vr0mUFnXkYRxA1_set_O5A;4.4;91;
gym_000092;Blackas Pepp och Hopp;58.5755247;15.917454;;Blackas Pepp och Hopp, Gurklisten, Skärblacka, Norrköpings kommun, Östergötlands län, 617 32, Sverige;;;;;;;
gym_000093;Blackebergs utegym;59.345903;17.878049;Stockholm;Björnsonsgatan 195, 16844, Bromma;https://motionera.stockholm/hitta-utegym/utegym/blackebergs-utegym;Utegymmet ligger vid Blackebergsstråket längs fina promenadvägar nära Grimsta naturreservat. Det är utformat så att det kan användas av människor med olika styrka. Klicka på Mina favoriter för att jämföra dina sparade verksamheter. Vid anläggningen finns en skylt som visar tips på övningar. Utegymmet ligger cirka 500 meter från Blackebergs tunnelbana. Närmaste entré utan trappor och stora höjdskillnader finns 300 meter söder om utegymmet, vid Blackebergsbacken 60. Där finns även parkeringsmöjlighet.;https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/880d892c-f3c8-4e88-8827-46707ee82071.jpg;ChIJ5Y1B9lV1X0YRdu6aatcDQRs;2.5;8;
gym_000094;Blåsutparkens utegym och seniorgym;59.293044;18.090114;Stockholm;Blåsutvägen 15, 12136, Johanneshov;https://motionera.stockholm/hitta-utegym/utegym/blasutparkens-utegym-och-seniorgym;Välkommen till två gym med barkunderlag belägna i Blåsutparken - ett ute och seniorgym. Klicka på Mina favoriter för att jämföra dina sparade verksamheter. Gymmet ligger nära boulebana, bollplan, lekplats och hundrastgård. Utegymmet är utrustat med redskap av trä och metall för allroundträning och består av redskapen: Gymmet ligger nära boulebana, bollplan, härliga gräsytor och grillplats. Seniorgymmet har redskap som inte är så tunga och har tonvikt på lågintensiv träning och balansträning och består av redskapen: Utegymmen är till för spontanidrott - de kan alltså inte bokas och är inte avsedd för organiserad idrott. Kom ihåg att visa hänsyn till närboende och andra besökare. Om det är många som vill träna samtidigt, tänk på att samsas och ge alla möjlighet att träna. Intill utegymmet finns flera möjligheter till spontanidrott som bollplan och boulebanor. Utöver detta finns även lekplats, hundrastgård och sittplatser med bord, och grillplats i närheten. Utegymmet har belysning fram till klockan 22.00.;https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/6ae0bc1d-4f2c-4241-ac43-0dfa74a187b4.jpeg;ChIJVyTtoo15X0YRdD_chNfO3SM;3.8;10;
gym_000095;Blekeparken;55.54767;13.10802;Malmö;;;Blekeparkens utegym ligger i Oxie och är en del av en aktivitetsyta med boulebana, bollplan och skatepark.;;;;;
gym_000096;Blidsbergs utomhusgym;57.9433767;13.4851384;;Blidsbergs utomhusgym, Börstigsvägen, Skarpås, Blidsbergs distrikt, Blidsberg, Ulricehamns kommun, Västra Götalands län, 520 24, Sverige;;;;ChIJw_sSP7OTWkYRFJ5cWm7ryUU;5.0;2;
gym_000097;Blidväders aktivitetsyta;57.70819061145519;11.886954419697703;Göteborg;;https://goteborg.se/wps/portal/start/uppleva-och-gora/idrott-motion-och-friluftsliv/motion-och-halsa/utomhusmotion/hitta-utegym-och-utetraning?id=6606;Utegymmet ligger i det populära grönområdet Gårdstensdalen, som rustades upp till en stadsdelspark under 2019 och 2020. Redskapen är i trä och ger en allsidig träning. Runt utegymmet finns sittplatser och stora öppna gräsytor för lek, picknick och umgänge. I närheten finns också lekplats, boulebana, tennisbana med basketkorg, fruktlund, promenadvägar och sittplatser. Redskap: Upphoppsstubbar, rygglyft, dips/låg barr, armhäv, armgång, axelpress, bröstpress, battleropes och stående rodd. Närmaste hållplats : Gårdsten Centrum Utegymmet ligger i det populära grönområdet Gårdstensdalen, som rustades upp till en stadsdelspark under 2019 och 2020. Redskapen är i trä och ger en allsidig träning. Runt utegymmet finns sittplatser och stora öppna gräsytor för lek, picknick och umgänge. I närheten finns också lekplats, boulebana, tennisbana med basketkorg, fruktlund, promenadvägar och sittplatser. Redskap: Upphoppsstubbar, rygglyft, dips/låg barr, armhäv, armgång, axelpress, bröstpress, battleropes och stående rodd.;https://s3.eu-north-1.amazonaws.com/gbg.serviceguiden/61e0a2b8cfc4d247cca9baef_666aabce2d3fc40b32e3463d_large.jpg;ChIJOVhT6UuNT0YRD_A8kWyD4B8;;;
gym_000098;Bockebodas utegym;56.0362346;13.9946885;Kristianstad;80, Bockebodavägen 474-80, 291 92 Kristianstad;;;;ChIJfb7ItDQBVEYRuEYTL2hDTyg;4.5;276;
gym_000099;Böda Sand Outdoor Gym;57.2733612;17.0492579;Böda Sand;Bödasandsallén, Kronocamping Böda Sand, Böda sand, Borgholms kommun, Kalmar län, Sverige;;;;ChIJTeSySQD_90YRvFnH1CNHqO4;;;
gym_000100;Bohus-Malmöns utegym;58.33855;11.33797;Bohus-Malmön;Kattesandsvägen 37;;Bohus-Malmöns utegym ligger nära Pärlane strand. ;;ChIJGzBidc-7RUYRrdZOUSdh0Mk;;;
gym_000101;Bolidens utegym;64.8627988;20.3914596;Boliden;Margaretavägen, Nya Bjurliden, Boliden, Skellefteå kommun, Västerbottens län, 936 32, Sverige;;;;;;;
gym_000102;Bollebergets utegym;61.3757016;16.3469857;Bollnäs;Bollevägen, Knalls, Bollnäs, Bollnäs kommun, Gävleborgs län, 821 94, Sverige;;;;;;;
gym_000103;Bollnäs utegym;61.3546857;16.3747427;Bollnäs;Hedhamregatan 11, 821 32 Bollnäs;;;;ChIJayMS3ErpZkYRVYOWmWYhme8;4.0;1;
gym_000104;Bollstanäs Utegym;59.4947437;17.9535739;;;;;;ChIJ5QHVdtGZX0YRFFjaVIxtMj4;3.0;2;
gym_000105;Bonäs utegym;59.4617504;17.7997481;;;https://www.naturkartan.se/sv/stockholms-lan/turbingrand-utegym?guide_id=109;;;ChIJk8r8P0-jX0YRz0f9zSudAHo;4.7;21;
gym_000106;Bondsjöhöjdens utegym;62.6423584;17.8990859;;Bondsjöhöjdens utegym, Stigsjövägen, Övre Änget, Säbrå distrikt, Härnösands kommun, Västernorrlands län, 871 53, Sverige;https://www.harnosand.se/kultur--fritid/sport-fritid--friluftsliv/idrott-och-motion/arenor/bondsjohojdens-ip.html;;;ChIJ1dvxV8ebZEYRwsG5XS-D5KY;4.3;105;
gym_000107;BootKampens hinderbana och utegym;56.8705589;14.8150365;Växjö;Kampastigen 5, 352 34 Växjö;;;;ChIJ5eTIbekjV0YRB0FFfGgHbU0;4.1;168;
gym_000108;Borås GIFs utegym;57.7538233;12.9354645;Borås;Skyttespången, Sjöbo sommarstad, Sjöbo, Borås, Borås kommun, Västra Götalands län, 506 42, Sverige;;;;;;;
gym_000109;Borgarevägens utegym;55.7248886;13.2158703;Lund;226 47 Lund;;;;;;;
gym_000110;Borgarparkens utegym;55.7231685;13.209628;Lund;Borgareparken 3, 226 47 Lund;;;;ChIJp7PrNgCXU0YRIK5CIYLwkEU;;;
gym_000111;Borgeby IP;55.72859111;13.03723342;Bjärred;Tennisväg;;På utegymmet  på Borgeby IP  finns enklare träredskap att träna med.;;;;;
gym_000112;Borgen Outdoor;57.2001727;14.0167394;Värnamo;Borgabacksvägen, Västhorja, Värnamo, Värnamo kommun, 331 55, Sverige;;;;;;;
gym_000113;Borgenparkens utegym;59.3319766;17.6852564;Stenhamra;179 61 Stenhamra;;;;;;;
gym_000114;Borgmästarholmens utegym;59.3932255;13.5009672;;Borgmästarholmens utegym, Sandbäcksgatan, Södra Råtorp, Sundsta, Karlstad, Karlstads kommun, Värmlands län, 653 48, Sverige;;;;ChIJkSdKhQyzXEYRnultgaoehMc;;;
gym_000115;Borrby utegym;55.4601960226957;14.182625054565285;Borrby;Örumsvägen 4, 276 30 Borrby;;;;ChIJ8ZtZnp9fVEYROwjdpQUreFA;4.6;7;
gym_000116;Borstahusens utegym;55.9041091;12.805742;Landskrona;Lill-olas väg 31, 261 60 Landskrona;;;;ChIJ11Jdb3vKU0YRzIVmvPfXERI;4.2;5;
gym_000117;Braås utegym;57.0579192;15.0348982;Braås;Carl Lihnells väg, Volvo Construction Equipment Plant, Braås, Växjö kommun, Kronobergs län, Sverige;;;;;;;
gym_000118;Brahevallens Utegym;58.0539842;14.3441329;Visingsö;Norrbovägen 77, 563 94 Visingsö;;;;ChIJeUMvMABHWkYRzFtbl4NAPk4;;;
gym_000119;Bräntbergets utegym;63.8406103;20.3115335;;Bräntbergets utegym, Harspåret, Stadsliden, Umeå, Umeå kommun, Västerbottens län, 901 05, Sverige;;;;;;;
gym_000120;Branteviks utegym;55.520403373370605;14.347879039669643;Brantevik;272 38 Brantevik;;;;;;;
gym_000121;Brastad Arena;58.38146;11.47506;Brastad;Sågvägen 15;http://svenskfotboll.se/ft.aspx?scr=venue&faid=9842;"Vid Brastad Arena, intill bouleplanerna och den populära motionsslingan ""SAIS-slingan"", ligger utegymmet som är byggt med ekonomiskt stöd från den Europeiska Jordbruksfonden. Utegymmet består av två delar:
Första delen är ett klassiskt utegym i trä med axelpress, stocklyft, bröstpress, dips, knäböj, situps med mera.Andra delen är en hinderbana med armgång, balans och klättervägg. Till hinderbanan finns även en timer så att man kan ta tid på sig själv eller andra. Utegymmet är tillgänglighetsanpassat förutom delen som består av hinderbana där det är fallskyddssand.Bredvid utegymmet står ett stort trädäck byggt av elever på Gullmarsgymnasiets byggprogram. På trädäcket kan skolklasser samlas för att fika eller stretcha efter träningen. Utegymmet är belyst kvällstid.";;ChIJ32-aPgClRUYRlagPofnMfpc;;;
gym_000122;Bredängs utegym;59.295602;17.923123;Stockholm;Stora sällskapets väg 60, 12731, Skärholmen;https://motionera.stockholm/hitta-utegym/utegym/bredangs-utegym;Stockholms stads erbjuder ett mindre utegym helt i trä intill Bredängs camping. Utrustningen är utformad så att alla oavsett ålder kan använda den. Den har de grundläggande funktioner som krävs för att träna och hålla kroppen i form. Klicka på Mina favoriter för att jämföra dina sparade verksamheter. Närmaste tunnelbana är Bredäng och om du följer skyltningen för Bredängs camping hittar du utegymmet strax efter campingen och bredvid skogen. Det finns en parkering bredvid parkeringen. Gå eller spring i Bredängsspåret som är ett belyst motionsspår på 3,2 km.;https://motionera.stockholm/optimized/serviceunitspage/filer/hitta/277ef15d-8d3d-434b-99e3-7437c11bcfd1.jpeg;;;;
gym_000123;Bredbyns utegym;63.4483277;18.1024605;Bredbyn;Trädgårdsgatan 28, 895 30 Bredbyn;http://www.anundsjo.se/;;;;;;
gym_000124;Brevens utegym;59.0129632;15.5794468;;Brevens utegym, Bruksgatan, Talludden, Brevens bruk, Örebro kommun, Örebro län, 715 96, Sverige;;;;;;;
gym_000125;Breviksalpens utegym;57.7729696;16.6021363;Västervik;Långrevsgatan 9, 593 40 Västervik;;;;ChIJ6SI6xIVDWEYRk3dVcBCLOvY;4.6;7;
gym_000126;Brittatorps utegym;57.0365713;14.9394086;Brittatorp;Viljans väg, Udden, Brittatorp, Växjö kommun, Kronobergs län, 360 40, Sverige;;;;;;;
